1	tt1948003:8.3	tt2791192:-	tt2791240:-	tt5569880:-	
2	tt2371417:6.8	tt2518292:7.4	tt2791232:-	tt2791234:-	tt2791248:-	
3	tt2795336:7.1	tt2797170:7.7	tt2826294:7.6	tt2833698:-	tt2849754:-	tt2858338:7.8	tt3350952:8.1	
4	tt3685892:6.5	tt3722244:6.9	tt3765800:-	tt5569842:-	tt5569848:-	tt5569864:8.4	
5	tt4684796:7.0	tt4853970:-	tt6141096:-	tt6141100:-	tt6141112:-	tt6141116:-	
6	tt6141228:-	
