\N	tt10168776:-	tt10337370:-	tt10337380:-	tt4419514:-	tt5466864:-	tt5572746:-	tt6399074:-	tt6599332:-	tt6786130:-	tt6793516:-	tt6844706:-	tt7773926:-	tt8185278:-	tt8660910:-	tt9540096:-	
6	tt10187256:-	
5	tt10260814:-	tt10264942:-	tt10279130:-	tt10324256:-	tt10324364:-	tt10337598:-	tt10362138:-	tt10362144:-	tt10362210:-	tt10369010:-	tt10446952:7.2	
1	tt4370780:7.9	tt4374306:7.7	tt4389260:7.3	tt4422932:7.6	tt4435212:7.6	tt4471474:7.4	tt4491736:7.9	tt4524322:8.2	tt4524326:7.4	tt9038376:-	
2	tt5003308:7.0	tt5152474:-	tt5152492:-	tt5438316:-	tt5441158:7.2	tt5490838:7.3	tt5538314:-	tt5623448:7.6	tt5663154:-	tt5663158:-	tt5770678:-	tt6083808:8.2	tt7240456:9.4	
3	tt6282426:-	tt6452524:-	tt6505646:-	tt6540158:-	tt6546080:-	tt6569938:-	tt6569942:-	tt6735056:-	tt6848640:-	tt7912626:-	
4	tt7752996:-	tt7791248:-	tt7856012:-	tt7885304:-	tt7932002:-	tt7932004:-	tt7963686:-	tt8007344:-	tt8128682:-	tt8372304:-	
