6	tt10700116:8.8	tt10700410:8.7	tt10700428:8.7	tt11195706:8.7	tt11241106:8.5	tt11266906:8.5	tt11381688:8.4	tt11381704:8.7	tt11381728:8.6	tt11381762:8.7	tt11381772:8.1	
7	tt13393944:8.0	tt13567650:7.3	tt13567660:7.5	tt13567670:8.0	tt13600198:8.0	tt13667664:8.1	
8	tt13906822:-	
1	tt6284194:8.7	tt6284198:9.1	tt6284200:9.1	tt7726344:9.0	
2	tt6284206:9.3	tt6284210:9.4	tt6284218:9.5	
3	tt7419512:9.4	tt7454080:9.2	tt7454084:9.3	
4	tt8137616:8.7	tt8137638:8.8	tt8137640:8.9	
5	tt9284420:8.6	tt9284422:8.8	tt9342072:8.9	tt9342078:8.6	tt9372212:8.7	tt9382302:8.9	tt9382304:8.9	
