1	tt1687786:-	tt1687787:-	tt1693594:-	tt1698753:-	tt1703790:-	tt1703791:-	tt1707660:-	tt1711978:-	
2	tt1976452:-	tt1988499:-	tt1997235:-	tt2007900:-	tt2007901:-	tt2008418:-	tt2023327:-	
3	tt2253692:-	tt2267440:-	tt2268658:-	tt2287600:-	tt2304834:-	tt2318636:-	tt2331022:-	
4	tt3061282:-	tt3061288:-	tt3061300:-	tt3067814:-	tt3086222:-	tt3097948:-	tt3127822:-	
5	tt3850718:-	tt3864642:-	tt3871986:-	tt3896682:-	tt3919132:-	tt3919134:-	tt3919140:-	
