1	tt0098722:3.7	tt0873848:-	tt0873850:-	tt0873853:-	tt0873854:-	tt0873859:-	tt0873862:-	tt0873864:-	tt0873867:-	tt0873873:-	tt0873874:-	tt0873876:-	tt0873877:-	
3	tt0755304:-	tt0755305:-	tt0855196:-	tt0869506:-	tt0873847:-	tt0873856:-	tt0873857:-	tt0873866:-	tt0873868:-	tt0873871:-	tt0873872:-	tt0873875:-	
2	tt0873846:-	tt0873849:-	tt0873851:-	tt0873852:-	tt0873855:-	tt0873858:-	tt0873860:-	tt0873861:-	tt0873863:-	tt0873865:-	tt0873869:-	tt0873870:-	
