1	tt3634486:-	tt3635710:8.3	tt3636156:-	tt3638490:8.7	tt3639950:8.3	tt3657488:-	tt3702974:-	tt3719540:-	tt4137894:-	tt4284194:-	tt4448208:-	
2	tt4157574:-	tt4384494:8.5	tt4392198:-	tt4458424:-	tt4524778:7.4	tt4524780:7.1	tt4527414:-	tt4527418:-	tt4527422:7.4	tt4527434:-	tt4527436:-	tt4527438:-	
3	tt5515108:-	tt5515136:-	tt5515146:7.8	tt5555114:-	tt5569170:-	tt5569286:-	tt5575578:-	tt5596510:-	tt5603024:-	tt5662250:-	tt5676914:-	tt5938716:-	
