10	tt12239344:-	tt12245238:-	tt12274648:-	tt12324612:-	tt12831322:-	tt12831352:-	tt12831474:-	tt12836966:-	tt12837218:-	tt12837244:-	tt12837264:-	
7	tt6509870:-	tt6509872:-	tt6513566:-	tt6513598:-	tt6561620:-	tt6561624:-	tt6561630:-	tt6561640:-	tt6561644:-	tt6561662:-	tt6561670:-	tt6561682:-	
8	tt7245836:-	tt7246450:-	tt7246592:-	tt7262694:-	tt7262840:-	tt7262944:-	tt7263232:-	tt7545562:-	tt7545578:-	tt8201314:-	tt8201320:-	tt8201326:-	
5	tt7836242:-	tt9291606:-	tt9291614:-	tt9291620:-	tt9291638:-	tt9291728:-	tt9291754:-	tt9291776:-	tt9291782:-	tt9291788:-	tt9291794:-	tt9358446:-	
9	tt8226640:-	tt8226670:-	tt8226680:-	tt9275066:-	tt9275104:-	tt9275124:-	tt9275132:-	tt9275140:-	tt9275150:-	tt9275164:-	
1	tt9281204:-	tt9281212:-	tt9281214:-	tt9281218:-	tt9281220:-	tt9281224:-	tt9281228:-	tt9281234:-	tt9281242:-	tt9281246:-	tt9281248:-	tt9281252:-	
2	tt9281256:-	tt9281258:-	tt9281262:-	tt9281270:-	tt9281274:-	tt9281278:-	tt9291136:-	tt9291142:-	tt9291152:-	tt9291168:-	tt9291284:-	tt9291316:-	
3	tt9281284:-	tt9281290:-	tt9281296:-	tt9281300:-	tt9281306:-	tt9281322:-	tt9281328:-	tt9281334:-	tt9281338:-	tt9291326:-	tt9291330:-	tt9291342:-	
4	tt9281344:-	tt9281356:-	tt9281366:-	tt9281372:-	tt9281382:-	tt9281390:-	tt9281396:-	tt9281404:-	tt9281406:-	tt9281412:-	tt9281416:-	tt9281422:-	
6	tt9281428:-	tt9281440:-	tt9281444:-	tt9281452:-	tt9281454:-	tt9287758:-	tt9287762:-	tt9287770:-	tt9287780:-	tt9287786:-	tt9287798:-	tt9287820:-	tt9291392:-	
