3	tt11385968:8.3	tt11974996:7.9	tt11975000:8.3	tt11975002:8.2	tt11975006:8.6	tt11975012:8.4	tt11975024:8.5	tt11975026:8.5	tt11975028:8.3	tt11975030:8.6	tt11975032:8.3	
4	tt13477108:8.9	tt13479606:8.8	tt13479608:8.8	tt13479610:8.9	tt13479614:8.9	tt13479618:8.7	tt13479620:9.0	tt13479624:8.5	tt13479628:8.4	tt13479636:9.0	tt13479638:8.8	tt13479642:9.2	
1	tt8111432:5.7	tt8111436:5.7	tt8111438:5.7	tt8111440:6.5	tt8111442:6.6	tt8111444:6.5	tt8111446:6.9	tt8111448:6.7	tt8111450:6.8	tt8111452:6.8	tt8111454:6.4	tt8111456:6.8	tt8111458:7.2	
2	tt9104888:7.0	tt9116516:6.5	tt9116592:6.7	tt9116616:6.7	tt9116630:6.7	tt9116652:6.7	tt9116670:6.6	tt9116678:6.9	tt9116710:6.8	tt9116736:6.6	tt9116746:6.5	tt9116750:6.8	tt9116752:7.0	
