2	tt0691846:-	tt0691847:-	tt0691848:-	tt0691849:-	tt0691850:-	tt0767249:-	tt0767250:-	tt0767251:-	tt1431562:-	
1	tt1435238:-	tt1435239:-	tt1435240:-	tt1435241:-	tt1435242:-	tt1435243:-	tt1435244:-	tt1435245:-	
3	tt1435246:-	tt1435247:-	tt1435248:-	tt1435249:-	tt1435250:-	tt1435251:-	tt1435252:-	tt1435253:-	tt1437035:-	
4	tt1435254:-	tt1435255:-	tt1435256:-	tt1435257:-	tt1435258:-	tt1435259:-	tt1435260:-	
5	tt1435261:-	tt1435262:-	tt1435263:-	tt1435264:-	tt1435265:-	tt1435266:-	tt1435267:-	
6	tt1622392:-	tt1622393:-	tt1622394:-	tt1622395:-	tt1622396:-	tt1622397:-	tt1622398:-	
