1	tt0504386:7.4	tt0504392:7.1	tt0504395:7.8	tt0504397:7.7	tt0504399:7.4	tt0504401:7.7	tt0504405:7.5	tt0504412:7.4	tt0504413:7.1	tt0504415:7.2	tt0504416:7.3	tt0504417:8.0	tt0504420:8.0	tt0504421:7.6	tt0504425:7.7	tt0504429:7.7	tt0504430:7.6	tt0504444:8.1	tt0504449:7.6	tt0504454:7.2	tt0504455:7.1	tt0504463:7.7	tt0768299:7.9	tt0768300:7.7	tt0768309:7.5	tt0768312:7.7	tt0822953:7.8	
2	tt0504387:8.5	tt0504388:8.4	tt0504402:7.3	tt0504407:7.6	tt0504411:7.6	tt0504426:7.7	tt0504427:8.0	tt0504428:7.5	tt0504431:7.6	tt0504435:8.1	tt0504436:8.0	tt0504437:8.0	tt0504438:7.9	tt0504439:7.6	tt0504447:8.1	tt0504448:7.9	tt0504458:7.5	tt0504460:7.6	tt0504461:7.9	tt0504462:7.6	tt0504465:7.5	tt0768306:7.7	tt0768310:7.7	tt0768650:7.9	tt0768654:7.4	tt0768656:8.1	
3	tt0504389:7.5	tt0504390:7.4	tt0504394:7.7	tt0504398:7.6	tt0504404:7.4	tt0504406:7.4	tt0504432:7.5	tt0504433:7.6	tt0504434:7.6	tt0504440:7.8	tt0504441:7.5	tt0504443:7.8	tt0504445:7.8	tt0504446:7.6	tt0504450:6.9	tt0504451:7.0	tt0504452:7.6	tt0504456:7.6	tt0504457:7.7	tt0768301:7.4	tt0768304:7.5	tt0768308:7.5	tt0768649:7.5	tt0768651:7.6	tt0768652:7.7	tt0768653:7.5	
4	tt0504391:7.6	tt0504393:7.5	tt0504396:7.7	tt0504400:7.3	tt0504403:7.5	tt0504408:7.6	tt0504409:7.3	tt0504410:7.3	tt0504414:7.6	tt0504418:7.5	tt0504419:7.7	tt0504422:7.3	tt0504423:7.0	tt0504424:7.6	tt0504442:7.3	tt0504453:7.3	tt0504459:8.0	tt0504464:7.5	tt0768302:7.8	tt0768303:7.3	tt0768305:7.2	tt0768307:7.6	tt0768311:7.6	tt0768655:7.8	
