18	tt10092790:-	
19	tt11879494:-	tt12239636:-	tt12239642:-	tt12239652:-	tt12239658:-	tt12239662:-	
16	tt12239722:-	tt7474644:-	
20	tt13976776:-	tt14286666:-	
8	tt3244314:-	tt3244318:-	tt3253012:-	tt3253044:-	tt3253050:-	tt3253056:-	tt3253062:-	tt3253082:-	tt3253088:-	tt3253090:-	tt3253096:-	tt3253104:-	
1	tt3253662:-	tt3253664:-	tt3253832:-	
2	tt3253668:-	tt3253670:-	
3	tt3253674:-	tt3253676:-	
4	tt3253680:-	tt3253684:-	
5	tt3253686:-	tt3253688:-	
6	tt3253690:-	tt3253692:-	
7	tt3253694:-	tt3253698:-	
9	tt3253700:-	tt3253704:-	
10	tt3253708:-	tt3253714:-	
11	tt3253716:-	tt3253720:-	
12	tt3253724:-	tt3253726:-	
13	tt3354106:-	
\N	tt5840826:-	tt8852486:-	
15	tt7474626:-	
14	tt7474636:-	
17	tt8248880:-	tt8315944:-	tt8315946:-	
