1	tt5311750:-	tt5311758:-	tt5311766:-	tt5311784:-	tt5311798:-	tt5311806:-	tt5311830:-	tt5311838:-	tt5311892:-	tt5311910:-	tt5311928:-	tt5311974:-	tt5312394:-	tt5312402:-	tt5312412:-	tt5312420:-	tt5316262:-	tt5316264:-	tt5316266:-	tt5316270:-	tt5316276:-	tt5316284:-	tt5316286:-	tt5316290:-	tt5316294:-	tt5316300:-	tt5316312:-	tt5316316:-	tt5316318:-	tt5316324:-	tt5316332:-	tt5316336:-	tt5316338:-	tt5316346:-	tt5316350:-	tt5316358:-	tt5316364:-	tt5316370:-	tt5317236:-	
18	tt5312432:-	
19	tt5312440:-	
2	tt5312446:-	
21	tt5312454:-	
22	tt5312456:-	
23	tt5312474:-	
24	tt5312486:-	
25	tt5312494:-	
26	tt5312504:-	
27	tt5312516:-	
28	tt5312526:-	
29	tt5312530:-	
30	tt5312546:-	
31	tt5312558:-	
32	tt5312566:-	
33	tt5312572:-	
34	tt5312578:-	
35	tt5312582:-	
36	tt5312592:-	
37	tt5312596:-	
38	tt5312602:-	
39	tt5312608:-	
