7	tt10145296:-	tt10145298:-	tt10145306:-	tt9335322:-	
8	tt10145312:-	tt9335472:-	tt9410636:-	tt9410782:-	tt9410868:-	tt9410892:-	
9	tt13892622:-	tt13892638:-	tt13892648:-	tt13892660:-	tt13892668:-	
4	tt4442580:-	tt4442598:-	tt4442616:-	tt4442622:-	tt4442630:-	
3	tt4442640:-	tt4442654:-	tt4442660:-	tt4442670:-	tt4442688:-	
\N	tt7550580:-	
6	tt9335454:-	
