1	tt0636562:7.0	tt0636564:7.0	tt0636569:4.5	tt0636570:6.6	tt0636574:6.0	tt0954668:7.0	tt1409306:6.2	tt1409308:5.0	tt1409309:-	tt1409310:7.5	tt1771501:-	tt1771502:-	tt1771503:-	tt1771504:8.8	tt1771505:7.0	tt1771507:-	tt1771508:-	tt1771509:6.8	tt1771510:-	tt1771511:-	tt1771512:-	tt1771513:-	tt1771514:-	
3	tt0636563:6.8	tt0636566:8.8	tt0636568:6.8	tt0636571:6.4	tt0636572:-	tt0636573:-	tt1151128:-	tt1643186:-	tt1643187:-	tt1643188:-	tt1643190:-	tt1643191:-	tt1643196:7.2	tt1643199:-	tt1643200:-	tt1643203:-	tt1643204:-	tt1643205:-	tt1772580:-	tt1772581:-	tt1772582:-	tt1772583:-	
2	tt0636565:-	tt0636567:9.0	tt0636575:-	tt1409307:8.0	tt1487509:-	tt1492008:-	tt1614163:7.8	tt1614164:6.6	tt1643189:-	tt1643192:-	tt1643193:-	tt1643194:6.4	tt1643195:7.5	tt1643197:6.0	tt1643198:6.6	tt1643201:7.8	tt1643202:6.8	tt1643206:8.2	tt1643779:6.0	tt1643780:6.8	tt1643781:-	tt1643782:-	
