2	tt11319230:7.6	tt11319370:7.6	tt11326592:7.0	tt11366716:7.0	tt11398852:6.6	tt11398858:7.0	
3	tt13250376:8.6	tt13250574:9.0	tt13350020:-	tt13350030:-	tt13359098:-	tt13480574:-	tt13480632:-	
1	tt9491180:7.5	tt9491182:7.6	tt9491230:7.7	tt9491234:7.5	tt9491236:7.7	tt9491238:7.5	tt9491240:6.7	
