1	tt4929548:-	tt8905494:-	tt8905502:-	tt8905526:-	tt8909914:-	tt8909940:-	tt8910230:-	tt8910262:-	tt8910270:-	tt8910292:-	tt8910316:-	tt8910332:-	tt8910374:-	tt8910390:-	tt8910400:-	tt8910426:-	
2	tt8910430:-	tt8910450:-	tt8910468:-	tt8910478:-	tt8910484:-	tt8910490:-	tt8910528:-	tt8910554:-	tt8910568:-	tt8910588:-	tt8913714:-	tt8913718:-	tt8913794:-	tt8916944:-	tt8916956:-	
3	tt8916976:-	tt8916998:-	tt8917056:-	tt8917062:-	tt8917102:-	tt8922142:-	tt8922204:-	tt8922216:-	tt8922222:-	tt8922234:-	tt8922238:-	tt8922250:-	tt8922276:-	tt8922328:-	tt8922362:-	
4	tt8922888:-	tt8922896:-	tt8922902:-	tt8922912:-	tt8922916:-	tt8922934:-	tt8922936:-	tt8922942:-	tt8922964:-	tt8923002:-	tt8923020:-	tt8923038:-	tt8923046:-	tt8923062:-	
5	tt8923072:-	tt8923086:-	tt8923096:-	tt8924184:-	tt8924646:-	tt8924654:-	tt8924668:-	tt8925556:-	tt8925558:-	tt8925560:-	tt8925568:-	tt8925574:-	tt8925582:-	tt8925584:-	tt8925588:-	
6	tt8925590:-	tt8925600:-	tt8927902:-	tt8927910:-	tt8927918:-	
