1	tt4886254:-	tt5894820:-	tt5894822:-	tt6459426:-	tt6459430:-	tt6459434:-	tt6459436:-	tt6459438:-	tt6459440:-	tt6459464:-	tt6459466:-	tt6459468:-	tt6459470:-	tt6459476:-	tt6545730:-	tt6545732:-	tt6545734:-	tt6545736:-	tt6545740:-	tt6545742:-	tt6545744:-	tt6545748:-	tt6545752:-	tt6545756:-	tt6545760:-	tt6545762:-	tt6545764:-	tt6545766:-	tt6545770:-	
2	tt6658602:-	tt6658604:-	tt6658606:-	tt6658608:-	tt6658610:-	tt6658612:-	tt6658614:-	tt6658616:-	tt6658618:-	tt6658620:-	tt6658622:-	tt6658624:-	tt6658626:-	tt6658628:-	tt6658630:-	tt6658632:-	tt6658636:-	tt6658638:-	tt6658642:-	tt6658644:-	tt8713818:-	tt8713820:-	tt8713822:-	tt8713824:-	tt8713826:-	tt8713828:-	tt8713830:-	tt8713832:-	tt8713834:-	tt8713836:-	
3	tt8713850:-	tt8713852:-	tt8713854:-	tt8713856:-	tt8713858:-	tt8713860:-	tt8713862:-	tt8713864:-	tt8713866:-	tt8713868:-	tt8713870:-	tt8713874:-	tt8713876:-	tt8713878:-	tt8713880:-	tt8713882:-	tt8713884:-	tt8713886:-	tt8713888:-	tt8713890:-	tt8713892:-	tt8713894:-	tt8713896:-	tt8713898:-	tt8713900:-	tt8713902:-	tt8713904:-	tt8713906:-	tt8713908:-	tt8713910:-	
