10	tt10815432:7.7	tt11041312:8.2	tt11108422:7.9	tt9896764:7.8	
11	tt13756962:-	tt13804662:-	tt14614360:-	
1	tt1753036:7.7	tt1763140:7.7	tt1764075:7.4	tt1764076:8.1	
2	tt2051747:8.1	tt2051748:7.6	tt2118476:8.2	tt2123814:7.9	
3	tt2377542:7.9	tt2649560:8.0	tt2769370:8.0	tt2896420:7.8	
4	tt3115858:7.9	tt3181368:7.9	tt3280456:7.5	tt3280458:7.9	
5	tt3724382:7.7	tt3843490:8.0	tt3979914:8.0	tt4018600:7.9	
6	tt4777516:8.7	tt4810566:8.0	tt4824592:7.7	tt4824596:7.8	
7	tt5542414:7.7	tt5896952:8.0	tt5994848:8.0	tt6121620:8.0	
8	tt7077344:7.9	tt7077350:7.8	tt7077352:8.1	tt7077356:7.7	
9	tt8038424:8.0	tt8616118:7.6	tt8673030:8.0	tt9020778:8.3	
