1	tt13073408:-	tt13073424:-	tt13073470:-	tt13073482:-	tt13073504:-	tt13073510:-	tt13073522:-	
2	tt13073546:-	tt13073558:-	tt13073580:-	tt13073602:-	tt13073648:-	tt13073654:-	tt13073660:-	tt13073662:-	tt13073666:-	tt13073672:-	
3	tt13073726:-	tt13073728:-	tt13073730:-	tt13073732:-	tt13073736:-	tt13073738:-	tt13073744:-	tt13073746:-	tt13073748:-	
4	tt13073754:-	tt13073756:-	tt13073762:-	tt13073766:-	tt13073774:-	tt13073776:-	tt13073786:-	tt13073792:-	
5	tt13073798:-	tt13073802:-	tt13073818:-	tt13073822:-	tt13073828:-	tt13073834:-	tt13080406:-	tt13080410:-	
