9	tt12200420:-	tt12639334:-	tt12639372:-	
1	tt1862969:8.4	tt1862970:8.1	tt1862971:8.2	tt1862972:8.7	
2	tt1882892:8.6	tt1923788:8.2	tt1923789:8.6	tt1923790:8.8	
3	tt2509726:8.7	tt2509732:8.1	tt2509740:7.7	tt2509744:8.2	
4	tt5911520:8.4	tt5956560:7.8	tt5956566:8.6	tt5956570:7.8	
5	tt5911726:7.8	tt5956538:8.6	tt5956544:8.0	tt5956546:8.2	
6	tt5911744:-	tt5911752:-	tt5911776:-	tt5911784:8.0	
7	tt6769342:8.1	tt6788496:8.1	tt6788498:8.3	
8	tt8407520:8.3	tt8407522:7.6	tt8407524:8.4	tt8407534:7.9	
