8	tt10756538:-	tt9108198:7.6	tt9108232:7.0	tt9108254:7.7	tt9108270:-	
9	tt11032690:7.5	tt11032694:7.1	tt11032702:7.0	tt11032714:5.8	tt9029876:7.8	
10	tt12979844:7.5	tt12979858:7.1	tt12979868:7.8	tt13211918:7.9	tt13250196:8.3	
1	tt2305569:8.2	tt2305571:8.6	tt2305573:8.2	tt2305575:7.8	
2	tt2441418:8.3	tt2456950:7.8	tt2470128:8.1	tt2485006:8.2	
3	tt3238936:7.6	tt3238940:7.8	tt3238942:7.8	tt3238944:8.0	
4	tt4041908:7.6	tt4041910:7.8	tt4041912:8.0	tt4041920:7.9	
5	tt5081852:6.7	tt5081854:7.3	tt5103852:7.3	tt5124700:7.4	
6	tt5150160:7.4	tt6116746:-	tt6116750:7.2	tt6116754:6.3	tt6138042:5.8	tt6138052:7.2	
\N	tt6203176:-	
7	tt7517188:7.9	tt7517200:7.8	tt7517214:8.0	tt7517222:8.3	tt7517228:8.8	
