6	tt11379528:-	tt11379532:-	tt11379534:-	
1	tt2812548:7.9	tt2812552:7.3	tt2949526:7.6	
2	tt5237958:7.7	tt5237960:8.8	tt5237966:7.9	tt5237968:7.9	tt5237972:7.8	tt5237974:8.5	
3	tt6191316:7.2	tt6191330:7.6	tt6227476:7.9	tt6243820:7.8	tt6319086:7.9	
4	tt7585592:7.9	tt7585596:8.0	tt7634572:6.5	tt7664422:8.7	tt9531756:8.1	
5	tt9531744:7.7	tt9531750:6.8	tt9618594:7.1	tt9618600:6.8	
