\N	tt10165924:-	tt10165932:-	tt10165934:-	tt10165940:-	tt10167080:-	tt10167082:-	tt10167086:-	tt10167088:-	tt10167092:-	tt10167094:-	tt10167096:-	tt10167102:-	tt10167106:-	tt10167108:-	tt10167114:-	tt10167118:-	tt10167122:-	tt10167130:-	tt10167138:-	tt10167148:-	tt10167154:-	tt10167166:-	tt10174608:-	tt10174626:-	tt10174696:-	tt10174700:-	tt10174702:-	tt10174720:-	tt10174746:-	tt10174766:-	tt10174792:-	tt10174812:-	tt10174838:-	tt10174854:-	tt10174882:-	tt10174936:-	tt10174954:-	tt10175040:-	tt10175070:-	tt10175098:-	tt10175100:-	tt7252194:-	tt7444104:-	tt7562534:-	tt7620238:-	tt7928414:-	tt8178994:-	tt8183806:-	
1	tt6862554:-	tt7082000:-	tt7082088:-	tt7124508:-	tt7124528:-	tt7124552:-	tt7124554:-	tt7124624:-	tt7124630:-	tt7124640:-	tt7124648:-	tt7124652:-	tt7124686:-	tt7124692:-	tt7124706:-	tt7124714:-	tt7124730:-	tt7124748:-	tt7124760:-	tt7124772:-	tt7124776:-	tt7124790:-	tt7124814:-	tt7124838:-	tt7124844:-	tt7124858:-	tt7124862:-	
2	tt7124892:-	tt7124918:-	tt7124962:-	tt7124976:-	tt7951982:-	tt7952034:-	tt7952062:-	tt7952076:-	tt7953566:-	tt7953586:-	tt7953708:-	tt7956224:-	tt7956250:-	tt7956288:-	tt7957516:-	tt7957522:-	tt7957532:-	tt7957548:-	tt7957568:-	tt7957606:-	tt7957618:-	tt7957634:-	tt7957646:-	tt7957672:-	tt7957684:-	tt7957690:-	
3	tt7958290:-	tt7958292:-	tt7958298:-	tt7958308:-	tt7958320:-	tt7958358:-	tt7958360:-	tt7958374:-	tt7958388:-	tt7958402:-	tt7958414:-	tt7958432:-	tt7958450:-	tt7958460:-	tt7958480:-	tt7958490:-	tt7958504:-	tt7958550:-	tt7958554:-	tt7958558:-	tt7958566:-	tt7958578:-	tt7958590:-	tt8014178:-	tt8014196:-	tt8014202:-	
4	tt8014210:-	tt8014218:-	tt8014242:-	tt8014248:-	tt8014254:-	tt8014268:-	tt8014274:-	tt8014284:-	tt8014292:-	tt8014304:-	tt8014310:-	tt8014322:-	tt8014340:-	tt8014348:-	tt8014360:-	tt8014372:-	tt8014374:-	tt8014394:-	tt8014410:-	tt8014418:-	tt8014430:-	tt8014444:-	tt8014458:-	tt8014488:-	tt8014502:-	tt8014508:-	
5	tt8014528:-	tt8014534:-	tt8014538:-	tt8014548:-	tt8014550:-	tt8045724:-	tt8045730:-	tt8045742:-	tt8045746:-	tt8045750:-	tt8045752:-	tt8045760:-	tt8045764:-	tt8045770:-	tt8045776:-	tt8045794:-	tt8045812:-	tt8045820:-	tt8045830:-	tt8045842:-	tt8176866:-	tt8176870:-	tt8176876:-	tt8176880:-	tt8176890:-	tt8178896:-	
6	tt8178904:-	tt8178912:-	tt8178988:-	tt8179000:-	tt8179008:-	tt8179012:-	tt8179020:-	tt8179028:-	tt8179032:-	tt8179034:-	tt8179042:-	tt8179086:-	tt8179132:-	tt8179134:-	tt8179138:-	tt8179140:-	tt8182772:-	tt8182790:-	tt8182804:-	tt8182824:-	tt8182842:-	tt8240240:-	tt8240252:-	tt8396858:-	
8	tt8186568:-	tt8240630:-	tt8240644:-	tt8240648:-	tt8240650:-	tt8240656:-	tt8240660:-	tt8240664:-	tt8240666:-	tt8240668:-	tt8240672:-	tt8240684:-	tt8240694:-	tt8240700:-	tt8240702:-	tt8271738:-	tt8334644:-	tt8630922:-	tt8630956:-	tt8630964:-	
7	tt8240270:-	tt8240276:-	tt8240290:-	tt8240316:-	tt8240330:-	tt8240338:-	tt8240342:-	tt8240350:-	tt8240360:-	tt8240366:-	tt8240372:-	tt8240390:-	tt8240402:-	tt8240414:-	tt8240430:-	tt8240444:-	tt8240454:-	tt8240470:-	tt8240516:-	tt8240524:-	tt8240528:-	tt8240538:-	tt8240544:-	tt8240548:-	tt8240554:-	tt8240558:-	
