14	tt3781986:-	tt3781988:-	tt3798922:-	tt3798926:-	tt3798928:-	tt3798932:-	tt3798934:-	tt3798936:-	tt3798938:-	tt3798940:-	tt3798942:-	tt3798944:-	tt3913258:-	tt3913600:-	tt3913604:-	tt3913606:-	tt3913608:-	tt3914994:-	tt3914998:-	tt3915000:-	tt3915004:-	tt3972856:-	tt3972858:-	tt3972860:-	tt3972866:-	tt3972868:-	tt3972874:-	tt4039768:-	tt4039770:-	tt4039772:-	tt4039774:-	tt4039776:-	
1	tt3781994:-	tt3781996:6.1	tt3781998:6.4	tt3782000:-	tt3782002:-	tt3782004:-	tt3782010:-	tt3782012:-	tt3782014:-	tt3782016:-	tt3782018:-	tt3782020:-	tt3782022:-	tt3782026:-	tt3782028:-	tt3782030:-	tt3782032:-	tt3782034:-	tt3782036:-	tt3791836:-	
2	tt3782038:-	tt3782040:-	tt3782042:-	tt3782044:-	tt3782046:-	tt3782048:-	tt3782050:-	tt3782052:-	tt3782054:-	tt3782060:-	tt3782062:-	tt3782064:-	tt3782066:-	tt3782068:-	tt3782070:-	tt3782072:-	tt3782074:-	tt3782076:-	tt3782078:-	tt3782080:-	
3	tt3782082:-	tt3782084:-	tt3782086:-	tt3782088:-	tt3782090:-	tt3782092:-	tt3782094:-	tt3782096:-	tt3782098:-	tt3782100:-	tt3782102:-	tt3782104:-	tt3782106:-	tt3782108:-	tt3782110:-	tt3782112:-	tt3782114:-	tt3782116:-	tt3782122:-	tt3782124:-	
4	tt3782120:-	tt3782126:-	tt3782128:-	tt3782130:-	tt3782132:-	tt3782136:-	tt3782138:-	tt3782140:-	tt3782142:-	tt3782144:-	tt3782146:-	tt3782148:-	tt3782150:-	tt3782152:-	tt3782154:-	tt3782156:-	tt3782158:-	tt3782160:-	tt3782162:-	tt3782164:-	
5	tt3782166:-	tt3782168:-	tt3782170:-	tt3782172:-	tt3782174:-	tt3782176:-	tt3782178:-	tt3782180:-	tt3782184:-	tt3782186:-	tt3782188:-	tt3782192:-	tt3782194:-	tt3782198:-	tt3782200:-	tt3782202:-	tt3782204:-	tt3782206:-	tt3782208:-	tt3782210:-	
6	tt3782212:-	tt3782216:-	tt3782218:-	tt3782220:-	tt3782222:-	tt3782224:-	tt3782226:-	tt3782228:-	tt3782230:-	tt3782232:-	tt3782234:-	tt3782238:-	tt3782240:-	tt3782242:-	tt3782244:-	tt3782246:-	tt3782248:-	tt3782250:-	tt3782254:-	tt3782258:-	tt3782262:-	tt3782266:-	
7	tt3782260:-	tt3782264:-	tt3782268:-	tt3782272:-	tt3782274:-	tt3782276:-	tt3782278:-	tt3782280:-	tt3782282:-	tt3782284:-	tt3782286:-	tt3782288:-	tt3782290:-	tt3782292:-	tt3782296:-	tt3782298:-	tt3782300:-	tt3782304:-	
8	tt3782308:-	tt3782310:-	tt3782312:-	tt3782314:-	tt3782318:-	tt3782320:-	tt3782322:-	tt3782324:-	tt3782326:-	tt3782328:-	tt3782330:-	tt3782332:-	tt3782334:-	tt3782336:-	tt3782338:-	tt3782340:-	tt3782342:-	tt3782344:-	tt3782346:-	tt3782348:-	
9	tt3782350:-	tt3782352:-	tt3782354:-	tt3782356:-	tt3782358:-	tt3782360:-	tt3782362:-	tt3782364:-	tt3782366:-	tt3782368:-	tt3782370:-	tt3782374:-	tt3782376:-	tt3782378:-	tt3782380:-	tt3782382:-	tt3782384:-	tt3782386:-	tt3782388:-	tt3782390:-	tt3782392:-	tt3782394:-	tt3782396:-	tt3782398:-	tt3782400:-	
10	tt3782402:-	tt3782404:-	tt3782406:-	tt3782408:-	tt3782410:-	tt3782412:-	tt3782414:-	tt3782416:-	tt3782418:-	tt3782420:-	tt3782422:-	tt3782424:-	tt3782428:-	tt3782430:-	tt3782432:-	tt3782434:-	tt3782436:-	tt3782438:-	tt3782440:-	tt3782442:-	tt3782444:-	tt3782446:-	tt3782448:-	tt3782450:-	tt3782452:-	
