1	tt10660518:7.7	tt10660550:7.7	tt10660560:8.2	tt11639328:7.6	tt11639332:-	tt11639464:-	tt11639470:-	tt11639482:-	tt13275312:-	
2	tt11639392:5.8	tt11639394:7.7	tt11639410:6.9	tt11639416:7.7	tt11639424:6.5	tt11639428:7.4	tt11639430:7.8	tt11639434:7.7	
3	tt13222186:-	tt13268370:-	tt13305084:-	tt13346036:-	tt13387294:-	tt13508972:-	tt13603990:-	tt13655688:-	
