\N	tt0321339:4.5	tt0986187:-	tt0987873:-	tt0987874:-	tt0987875:-	tt0987876:-	tt0987877:-	tt0990324:-	tt0990325:-	tt0990326:-	tt1292554:-	tt1292555:-	tt1918592:-	tt1947922:-	tt3971826:-	tt7394960:-	tt8434162:-	
1	tt3971932:-	tt3971982:-	tt4603156:-	
5	tt3971956:-	
2	tt4603184:-	
3	tt4603226:-	tt4603318:-	
4	tt4603338:-	tt4603364:-	
