1	tt8506168:-	tt8506170:-	tt8506172:-	tt8506174:-	tt8506176:-	tt8506178:-	tt8506180:-	tt8506182:-	tt8506184:-	tt8506186:-	tt8506188:-	tt8506190:-	tt8506192:-	tt8506194:-	tt8506196:-	tt8506198:-	tt8506200:-	tt8506202:-	tt8506204:-	tt8506206:-	tt8506220:-	tt8506222:-	tt8506224:-	tt8506226:-	tt8506228:-	tt8506230:-	tt8506232:-	tt8506234:-	tt8506236:-	tt8506238:-	tt8506240:-	tt8506242:-	tt8506244:-	tt8506246:-	tt8506248:-	tt8506250:-	tt8506252:-	tt8506254:-	tt8506256:-	tt8506258:-	
2	tt8506320:-	tt8506322:-	tt8506324:-	tt8506326:-	tt8506328:-	tt8506330:-	tt8506332:-	tt8506334:-	tt8506336:-	tt8506338:-	tt8506340:-	tt8506342:-	tt8506344:-	tt8506346:-	tt8506348:-	tt8506350:-	tt8506352:-	tt8506354:-	tt8506356:-	tt8506358:-	tt8506360:-	tt8506362:-	tt8506364:-	tt8506366:-	tt8506368:-	tt8506370:-	tt8506372:-	tt8506374:-	tt8506376:-	tt8506378:-	tt8506380:-	tt8506382:-	tt8506384:-	tt8506386:-	tt8506388:-	tt8506390:-	tt8506392:-	tt8506394:-	tt8506396:-	tt8506400:-	
3	tt8506418:-	tt8506420:-	tt8506422:-	tt8506424:-	tt8506426:-	tt8506428:-	tt8506430:-	tt8506432:-	tt8506434:-	tt8506436:-	tt8506438:-	tt8506440:-	tt8506442:-	tt8506444:-	tt8506446:-	tt8506448:-	tt8506452:-	tt8506454:-	tt8506456:-	tt8506458:-	tt8506460:-	tt8506462:-	tt8506464:-	tt8506466:-	tt8506468:-	tt8506470:-	tt8506472:-	tt8506474:-	tt8506476:-	tt8506478:-	tt8506480:-	tt8506482:-	tt8506484:-	tt8506486:-	tt8506488:-	tt8506490:-	tt8506492:-	tt8506494:-	tt8506496:-	tt8506498:-	
4	tt8506568:-	tt8506570:-	tt8506572:-	tt8506574:-	tt8506576:-	tt8506578:-	tt8506580:-	tt8506582:-	tt8506584:-	tt8506586:-	tt8506588:-	tt8506590:-	tt8506592:-	tt8506594:-	tt8506596:-	tt8506598:-	tt8506600:-	tt8506602:-	tt8506604:-	tt8506606:-	tt8506608:-	tt8506610:-	tt8506612:-	tt8506614:-	tt8506616:-	tt8506620:-	tt8506622:-	tt8506624:-	tt8506626:-	tt8506628:-	tt8506630:-	tt8506632:-	tt8506634:-	tt8506636:-	tt8506638:-	tt8506640:-	tt8506642:-	tt8506644:-	tt8506646:-	tt8506648:-	
5	tt8511534:-	tt8511536:-	tt8511538:-	tt8511540:-	tt8511542:-	tt8511544:-	tt8511546:-	tt8511548:-	tt8511550:-	tt8511552:-	tt8511554:-	tt8511556:-	tt8511558:-	tt8511560:-	tt8511562:-	tt8511564:-	tt8511566:-	tt8511572:-	tt8511574:-	tt8511576:-	tt8511578:-	tt8511580:-	tt8511582:-	tt8511584:-	tt8511586:-	tt8511588:-	tt8511590:-	tt8511592:-	tt8511594:-	tt8511598:-	tt8511600:-	tt8511602:-	tt8511604:-	tt8511606:-	tt8511608:-	tt8511610:-	tt8511612:-	tt8511614:-	tt8511616:-	tt8511618:-	
6	tt8511640:-	tt8511642:-	tt8511644:-	tt8511646:-	tt8511648:-	tt8511650:-	tt8511652:-	tt8511654:-	tt8511656:-	tt8511658:-	tt8511660:-	tt8511662:-	tt8511664:-	tt8511666:-	tt8511668:-	tt8511670:-	tt8511672:-	tt8511674:-	tt8511676:-	tt8511678:-	tt8511680:-	tt8511682:-	tt8511684:-	tt8511686:-	tt8511688:-	tt8511690:-	tt8511692:-	tt8511694:-	tt8511696:-	tt8511698:-	tt8511700:-	tt8511704:-	tt8511708:-	tt8511710:-	tt8511712:-	tt8511714:-	tt8511716:-	tt8511718:-	tt8511720:-	tt8511722:-	
7	tt8511754:-	tt8511756:-	tt8511758:-	tt8511760:-	tt8511762:-	tt8511764:-	tt8511766:-	tt8511768:-	tt8511770:-	tt8511772:-	tt8511774:-	tt8511776:-	tt8511778:-	tt8511782:-	tt8511784:-	tt8511786:-	tt8511788:-	tt8511790:-	tt8511792:-	tt8511794:-	tt8511796:-	tt8511798:-	tt8511800:-	tt8511802:-	tt8511804:-	tt8511806:-	tt8511810:-	tt8511812:-	tt8511814:-	tt8511816:-	tt8511818:-	tt8511820:-	tt8511822:-	tt8511824:-	tt8511826:-	tt8511828:-	tt8511830:-	tt8511832:-	tt8511834:-	tt8511836:-	
8	tt8511932:-	tt8511934:-	tt8511936:-	tt8511938:-	tt8511940:-	tt8511942:-	tt8511944:-	tt8511946:-	tt8511948:-	tt8511950:-	tt8511952:-	tt8511954:-	tt8511956:-	tt8511958:-	tt8511960:-	tt8511962:-	tt8511964:-	tt8511966:-	tt8511968:-	tt8511970:-	tt8511972:-	tt8511974:-	tt8511976:-	tt8511978:-	tt8511980:-	tt8511982:-	tt8511984:-	tt8511986:-	tt8511988:-	tt8511990:-	tt8511992:-	tt8511994:-	tt8511996:-	tt8511998:-	tt8512000:-	tt8512002:-	tt8512004:-	tt8512006:-	tt8512008:-	tt8512010:-	
9	tt8512018:-	tt8512020:-	tt8512022:-	tt8512024:-	tt8512026:-	tt8512028:-	tt8512030:-	tt8512032:-	tt8512034:-	tt8512036:-	tt8512038:-	tt8512040:-	tt8512042:-	tt8512044:-	tt8512046:-	tt8512048:-	tt8512050:-	tt8512052:-	tt8512054:-	tt8512056:-	tt8512058:-	tt8512060:-	tt8512062:-	tt8512064:-	tt8512066:-	tt8512068:-	tt8512070:-	tt8512072:-	tt8512074:-	tt8512076:-	tt8512078:-	tt8512080:-	tt8512082:-	tt8512084:-	tt8512086:-	tt8512088:-	tt8512090:-	tt8512092:-	tt8512094:-	tt8512096:-	
10	tt8512138:-	tt8512140:-	tt8512142:-	tt8512144:-	tt8512146:-	tt8512148:-	tt8512152:-	tt8512154:-	tt8512156:-	tt8512158:-	tt8512160:-	tt8512162:-	tt8512164:-	tt8512166:-	tt8512168:-	tt8512170:-	tt8512172:-	tt8512174:-	tt8512176:-	tt8512178:-	tt8512180:-	tt8512182:-	tt8512184:-	tt8512186:-	tt8512188:-	tt8512190:-	tt8512192:-	tt8512194:-	tt8512196:-	tt8512198:-	tt8512200:-	tt8512202:-	tt8512204:-	tt8512206:-	tt8512208:-	tt8512210:-	tt8512212:-	tt8512214:-	tt8512216:-	tt8512218:-	
