27	tt10509106:-	tt10511342:-	tt10515690:-	tt10526382:-	tt10529402:-	
29	tt10517502:-	tt10524236:-	
\N	tt1238016:7.4	tt5424164:-	tt5424170:-	tt5424186:-	tt5424194:-	tt5424200:-	
28	tt13459874:-	tt13462588:-	tt13462608:-	tt13462654:-	tt13462680:-	tt13462704:-	tt13462730:-	tt13462754:-	
33	tt13465146:-	tt13465160:-	tt13465180:-	
1	tt13875560:-	
2	tt13877182:-	
3	tt13877184:-	
4	tt13877188:-	
5	tt13877196:-	
6	tt13877200:-	
7	tt13877204:-	
8	tt13877208:-	
9	tt13877212:-	
10	tt13877216:-	
11	tt13877222:-	
12	tt13877226:-	
13	tt13877312:-	
14	tt13877316:-	
15	tt13877322:-	
16	tt13877454:-	
17	tt13877460:-	
18	tt13877462:-	
19	tt13877466:-	
20	tt13877468:-	
21	tt13877474:-	
22	tt13877542:-	
23	tt13877546:-	
24	tt13877550:-	
25	tt13877558:-	
26	tt13877564:-	
30	tt13877848:-	
