1	tt1507735:-	tt1507736:-	tt1507737:-	tt1507738:-	tt1507739:-	tt1507740:-	tt1507741:-	tt1507742:-	tt1507743:-	tt1507744:-	tt1507745:-	tt1507746:-	tt1507747:-	tt1507748:-	tt1507749:-	
2	tt1507750:-	tt1507751:-	tt1507752:-	tt1507753:-	tt1507754:-	tt1507755:-	tt1507756:-	tt1507757:-	tt1507758:-	tt1507759:-	tt1507760:-	tt1507761:-	tt1507762:-	tt1507763:-	tt1507764:-	
3	tt1507765:-	tt1507766:-	tt1507767:-	tt1507768:-	tt1507769:-	tt1507770:-	tt1507771:-	tt1507772:-	tt1507773:-	tt1507774:-	tt1507775:-	tt1507776:-	tt1507777:-	tt1507778:-	tt1507779:-	
4	tt1507780:-	tt1507781:-	tt1507782:-	tt1507783:-	tt1507784:-	tt1507785:-	tt1507786:-	tt1507787:-	tt1507788:-	tt1507789:-	tt1507790:-	tt1507791:-	tt1507792:-	tt1507793:-	tt1507794:-	
5	tt5478932:-	tt5478936:-	tt5478940:-	tt5478944:-	tt5478946:-	tt5478948:-	tt5478950:-	tt5478952:-	tt5478958:-	tt5478960:-	tt5478962:-	tt5478964:-	tt5478966:-	tt5478970:-	tt5478972:-	
6	tt5491046:-	tt5491048:-	tt5491050:-	tt5491054:-	tt5491060:-	tt5491064:-	tt5491068:-	tt5491074:-	tt5491076:-	tt5491080:-	tt5491082:-	tt5491088:-	tt5491090:-	tt5491092:-	tt5491100:-	
7	tt5491102:-	tt5491104:-	tt5491110:-	tt5491114:-	tt5491116:-	tt5491118:-	tt5491120:-	tt5491122:-	tt5491124:-	tt5491128:-	tt5491132:-	tt5491136:-	tt5491140:-	tt5491142:-	tt5491144:-	
8	tt5491146:-	tt5491150:-	tt5491154:-	tt5491160:-	tt5491162:-	tt5491170:-	tt5491174:-	tt5491178:-	tt5491180:-	tt5491182:-	tt5491184:-	tt5491186:-	tt5491188:-	tt5491190:-	tt5491194:-	
9	tt5491200:-	tt5491202:-	tt5491204:-	tt5491210:-	tt5491214:-	tt5491216:-	tt5491218:-	tt5491222:-	tt5491226:-	tt5491228:-	tt5491232:-	tt5491240:-	tt5491252:-	tt5491254:-	tt5491256:-	
10	tt5491242:-	tt5491244:-	tt5491250:-	tt5491258:-	tt5491260:-	tt5491266:-	tt5491268:-	tt5491270:-	tt5491274:-	tt5491276:-	tt5491280:-	tt5491282:-	tt5491286:-	tt5491288:-	tt5491290:-	
