1	tt0946700:-	
2	tt0946701:-	
3	tt0946702:-	
4	tt0946703:-	
5	tt0946704:-	
6	tt0946705:-	
7	tt0946706:6.0	
8	tt0946707:5.9	
9	tt0946708:-	
\N	tt0980813:-	tt0984724:-	tt0987729:-	tt0999334:-	tt1033401:-	tt1033402:-	tt1033403:-	tt1044855:-	tt1044856:-	tt1044857:-	tt1044858:-	tt1045509:-	tt1045510:8.0	tt1051657:-	tt1051658:-	tt1094929:-	tt1094930:-	tt1094931:-	tt1094932:-	tt1269320:-	tt1269321:-	tt1269322:-	tt1269323:-	tt1269324:-	tt1269325:-	tt1269326:-	tt1269327:-	tt1269328:-	tt1269329:-	tt1269330:-	tt1269331:-	tt1269332:-	tt1336227:-	tt4000808:-	tt5641868:-	
