1	tt12463936:-	tt12463942:-	tt12463946:-	tt12463954:-	tt12463962:-	
2	tt12463980:-	tt12463984:-	tt12463996:-	tt12464002:-	tt12464010:-	tt12464012:-	
3	tt12464018:-	tt12464026:-	tt12464030:-	tt12464038:-	tt12464042:-	tt12464046:-	
