1	tt3256496:7.0	tt3463170:6.9	tt3463174:6.9	tt3463180:6.5	tt3463194:7.3	
2	tt3463196:7.3	tt3463212:6.7	tt3463216:7.5	tt3463226:7.0	
3	tt3985734:6.8	tt4332156:6.7	tt4354134:6.3	tt4354136:6.8	
4	tt4778092:6.6	tt4778108:6.3	tt4778122:6.2	tt4780302:5.8	
5	tt4853886:7.9	tt4853888:7.5	tt4853890:7.3	tt4853892:7.5	tt4853896:7.9	tt4853904:8.2	
