2	tt3502580:-	tt3540152:-	tt3555084:-	tt6754974:-	tt6754980:-	tt6754996:-	tt7758060:-	tt7758212:-	tt7761062:-	tt7761722:-	tt7762536:-	tt7762550:-	tt7762578:-	tt7762590:-	tt7764422:-	tt7764452:-	tt7764518:-	tt7764768:-	tt7781296:-	tt7961070:-	
1	tt3502584:-	tt6754976:-	tt6754988:-	tt6755000:-	tt7758268:-	tt7758286:-	tt7758376:-	tt7758566:-	tt7759446:-	tt7761290:-	tt7761310:-	tt7762624:-	tt7762776:-	tt7762808:-	tt7763440:-	tt7763474:-	tt7768416:-	tt7769508:-	tt7781306:-	
3	tt3502586:-	tt3531230:-	tt3556216:-	tt3556224:-	tt6473974:-	tt6647724:-	tt7758082:-	tt7758322:-	tt7758344:-	tt7761266:-	tt7765902:-	tt7765920:-	tt7765980:-	tt7766012:-	tt7766014:-	tt7766020:-	tt7766022:-	tt7766030:-	tt7766046:-	
4	tt3511010:-	tt3540154:-	tt3540616:-	tt6473970:-	tt6754964:-	tt6754982:-	tt6754984:-	tt6754994:-	tt7758114:-	tt7761314:-	tt7761410:-	tt7761416:-	tt7762490:-	tt7771330:-	tt7771722:-	tt7771754:-	tt7772138:-	tt7781274:-	tt7781288:-	
