4	tt10034250:-	tt10090100:-	tt10141750:-	tt10324410:-	tt10324422:-	tt10923874:-	tt9789638:-	
3	tt10050022:-	tt10081182:-	tt10086596:-	tt10086662:-	tt10141756:-	
\N	tt10081176:-	tt10975246:-	
1	tt5628446:8.4	tt5754136:-	tt5754226:-	tt6571276:6.8	tt6571278:-	tt6571280:-	
2	tt7371866:-	tt7373884:8.6	tt7379116:8.5	tt7379138:-	tt7382724:-	tt7716852:8.4	
