3	tt0666596:6.7	tt0666597:6.8	tt0666598:6.8	tt0666602:6.6	tt0666609:7.5	tt0666614:6.7	tt0666616:6.6	tt0958722:5.3	
4	tt0666599:6.8	tt0666600:7.2	tt0666601:7.6	tt0666603:7.4	tt0666604:7.2	tt0666613:7.8	tt0666618:6.4	
1	tt0666605:7.5	tt0666608:7.2	tt0666610:7.0	tt0666612:6.6	tt0958721:7.3	tt0958723:7.2	tt0958724:7.8	
2	tt0666606:6.8	tt0666607:7.1	tt0666611:6.6	tt0666615:7.1	tt0666617:7.7	tt0666619:6.0	tt0953870:7.3	
