7	tt10914726:8.0	tt10914742:8.0	tt11011726:-	tt11011736:-	tt11011740:9.0	tt11011748:-	tt11058606:7.3	tt11816230:-	tt11816232:-	tt11816234:-	tt11816236:8.4	
1	tt3173116:7.7	tt3187674:6.8	tt3211134:8.1	tt3220308:6.7	tt3239352:7.6	tt3256412:7.0	tt3274598:7.1	tt3299584:6.9	
2	tt3868228:7.7	tt4036048:7.6	tt4056008:6.9	tt4071206:7.6	tt4111058:7.6	tt4128328:7.5	tt4146942:6.7	tt4164538:7.6	tt4184942:7.7	tt4201846:8.0	
3	tt5669452:7.0	tt5686998:7.6	tt5932920:7.6	tt6445726:7.2	tt7312890:7.5	tt7312894:7.7	tt7312906:7.5	tt7312910:7.2	tt7312912:7.3	tt7312916:7.9	
4	tt6412240:8.6	tt7603686:8.4	tt7603690:8.4	tt7603692:8.3	tt7603694:8.4	tt7603702:8.0	tt7603716:8.5	tt7603718:8.4	tt7603720:8.0	tt7603722:8.4	
5	tt7603678:7.1	tt7603682:-	tt7603706:-	tt7603708:8.2	tt7603710:8.0	tt7603714:8.0	tt7603724:7.6	tt7603728:7.2	tt7603730:7.7	tt7603736:7.2	
6	tt8897058:6.7	tt9856168:-	tt9856176:-	tt9856178:-	tt9856192:8.5	tt9856198:-	tt9856204:-	tt9856216:-	tt9856220:-	tt9856230:-	
