10	tt10773366:-	tt10782434:-	tt10782438:-	tt10782450:-	tt10782456:-	tt9724984:-	tt9905930:-	tt9907340:-	tt9907350:-	tt9907366:-	tt9907388:-	
11	tt11464840:-	tt11464852:-	tt11466120:-	tt11466126:-	tt11466130:-	tt11466132:-	
12	tt11477994:-	tt11477996:-	tt11477998:-	tt11478000:-	tt11478002:-	tt12128322:-	tt12128336:-	tt12128358:-	tt12128370:-	tt12128392:-	tt12128418:-	tt12128442:-	
7	tt6180262:-	tt9726044:-	tt9726076:-	tt9726090:-	tt9726120:-	tt9726138:-	tt9726144:-	tt9727498:-	tt9727522:-	tt9727542:-	tt9727560:-	tt9727580:-	
1	tt6292398:-	tt6292406:-	tt6292416:-	tt6292436:-	tt8129900:-	tt8129910:-	tt8129916:-	tt9427850:-	tt9429716:-	tt9429732:-	tt9429740:-	tt9429744:-	
5	tt9429748:-	tt9723518:-	tt9723522:-	tt9723526:-	tt9723530:-	tt9723536:-	tt9723540:-	tt9723542:-	tt9723660:-	tt9723666:-	tt9723674:-	tt9723676:-	
2	tt9431206:-	tt9431214:-	tt9431218:-	tt9431224:-	tt9431228:-	tt9431234:-	tt9439572:-	tt9439582:-	tt9439586:-	tt9439590:-	tt9439606:-	tt9439614:-	tt9439618:-	
3	tt9439948:-	tt9439952:-	tt9439972:-	tt9440002:-	tt9440010:-	tt9440018:-	tt9440024:-	tt9440026:-	tt9440034:-	tt9440058:-	tt9440076:-	tt9448216:-	tt9448226:-	tt9448236:-	
4	tt9448252:-	tt9455006:-	tt9455010:-	tt9455022:-	tt9455026:-	tt9456030:-	tt9456048:-	tt9456058:-	tt9456080:-	tt9456108:-	tt9456144:-	tt9458004:-	
6	tt9724868:-	tt9729036:-	tt9729044:-	tt9729048:-	tt9729056:-	tt9729064:-	tt9729072:-	tt9729076:-	tt9729080:-	tt9729082:-	tt9729092:-	tt9729098:-	
8	tt9724910:-	tt9731626:-	tt9731634:-	tt9731648:-	tt9731660:-	tt9731666:-	tt9731670:-	tt9731674:-	tt9731684:-	tt9731688:-	tt9731692:-	
9	tt9724944:-	tt9733682:-	tt9733688:-	tt9733692:-	tt9733694:-	tt9733700:-	tt9733704:-	tt9733716:-	tt9733728:-	tt9734504:-	
