10	tt10174220:-	tt10174236:-	tt10174290:-	tt10174308:-	
20	tt10862748:-	tt10862754:-	tt10862766:-	tt10862778:-	
1	tt8653872:-	
2	tt8659922:-	
18	tt8949024:-	tt8949044:-	tt8949060:-	tt8949068:-	
17	tt8949078:-	tt8950402:-	tt8956428:-	tt8956446:-	
16	tt8956460:-	tt8956488:-	tt8956506:-	tt8956524:-	
15	tt8956668:-	tt8956734:-	tt8956794:-	tt8956824:-	
14	tt8956842:-	tt8956860:-	tt8956864:-	tt8956884:-	
13	tt8957050:-	tt8957092:-	tt8957096:-	tt8957104:-	
12	tt8970820:-	tt8970826:-	tt8970836:-	tt8970840:-	
11	tt8970852:-	tt8970856:-	tt8970860:-	tt8970862:-	
19	tt8986160:-	tt8986192:-	tt9289340:-	tt9289394:-	
