4	tt10399286:-	tt10399292:-	tt10399298:-	tt10399312:-	tt10399318:-	tt10399320:-	tt10399330:-	tt10399346:-	tt10408996:-	tt10409000:-	tt10423220:-	tt10423224:-	tt10423226:-	tt10423228:-	tt10423232:-	tt10423234:-	tt10423236:-	tt10423238:-	tt10423240:-	tt10423242:-	tt10423244:-	tt10423246:-	tt10423248:-	tt10423250:-	tt10423252:-	
5	tt10427420:-	tt11602424:-	tt11602442:-	tt11602448:-	tt11602456:-	tt11602474:-	tt11602486:-	tt11602506:-	tt11602520:-	tt11602540:-	tt11602564:-	tt11602596:-	tt11602706:-	tt11602768:-	tt11602776:-	tt11603056:-	tt11603068:-	tt11603080:-	tt11603086:-	tt11603098:-	tt11603114:-	tt11603134:-	tt11603144:-	tt11603152:-	tt11603160:-	
6	tt11603176:-	tt11603178:-	tt11603204:-	tt11603216:-	tt11603226:-	tt11603260:-	tt11603274:-	tt11603280:-	tt11603290:-	tt11603338:-	tt11609712:-	tt11609754:-	tt11609762:-	tt11609770:-	tt11609790:-	tt11609842:-	tt11609852:-	tt11609860:-	tt11616302:-	tt11616332:-	tt11616354:-	tt11616372:-	tt11616406:-	tt11718532:-	tt11718534:-	
7	tt12299164:-	tt12299248:-	tt12299290:-	tt12299302:-	tt12299306:-	tt12312752:-	tt12317496:-	tt12317792:-	tt12317970:-	tt12317972:-	tt12318000:-	tt12318006:-	tt12318090:-	tt12318126:-	tt12318162:-	tt12318346:-	tt12318388:-	tt12318420:-	tt12318452:-	tt12318622:-	tt12318654:-	tt12318666:-	tt12318680:-	tt12318690:-	tt12318692:-	
8	tt12318696:-	tt12318700:-	tt12318704:-	tt12318706:-	tt12318716:-	tt12318740:-	tt12318760:-	tt12325628:-	tt12325638:-	tt12325652:-	tt12325664:-	tt12325686:-	tt12325698:-	tt12325740:-	tt12325778:-	tt12325796:-	tt12343912:-	tt12343934:-	tt12343942:-	tt12343948:-	tt12343958:-	tt12344040:-	tt12344054:-	tt12344058:-	tt12344080:-	
9	tt12344354:-	tt12344362:-	tt12344370:-	tt12344374:-	tt12344384:-	tt12344392:-	tt12344396:-	tt12344416:-	tt12344420:-	tt12344430:-	tt12357040:-	tt12357172:-	tt12357184:-	tt12357462:-	tt12357472:-	tt12357736:-	tt12362418:-	tt12362826:-	tt12362832:-	tt12362834:-	tt12362844:-	tt12362848:-	tt12362854:-	tt12362870:-	tt12362880:-	
10	tt12363172:-	tt12385144:-	tt12385162:-	tt12385258:-	tt12385328:-	tt12385338:-	tt12385392:-	tt12385394:-	tt12385400:-	tt12385418:-	tt12427506:-	tt12427520:-	tt12427578:-	tt12427602:-	tt12427608:-	tt12433332:-	tt12433368:-	tt12433392:-	tt12433484:-	tt12433530:-	tt12433674:-	tt12433700:-	tt12433706:-	tt12433712:-	tt12433722:-	
11	tt12433730:-	tt12434106:-	tt12434116:-	
1	tt9419218:-	tt9419402:-	tt9419504:-	tt9419548:-	tt9419552:-	tt9425162:-	tt9429318:-	tt9429440:-	tt9429490:-	tt9429522:-	tt9446836:-	tt9452688:-	tt9452884:-	tt9452996:-	tt9453050:-	tt9453400:-	tt9453906:-	tt9453922:-	tt9453942:-	tt9453990:-	tt9459800:-	tt9459816:-	tt9459832:-	tt9459860:-	tt9459864:-	
2	tt9609152:-	tt9609160:-	tt9609232:-	tt9609258:-	tt9609272:-	tt9658792:-	tt9658922:-	tt9659106:-	tt9659576:-	tt9659626:-	tt9659982:-	tt9690518:-	tt9690548:-	tt9690766:-	tt9690780:-	tt9691060:-	tt9691078:-	tt9696460:-	tt9696634:-	tt9696706:-	tt9838042:-	tt9838046:-	tt9838048:-	tt9838052:-	tt9838054:-	
3	tt9697584:-	tt9697598:-	tt9697624:-	tt9697636:-	tt9697658:-	tt9716038:-	tt9716044:-	tt9716052:-	tt9716082:-	tt9716102:-	tt9716132:-	tt9716140:-	tt9716158:-	tt9716172:-	tt9716186:-	tt9716578:-	tt9716602:-	tt9716684:-	tt9716692:-	tt9716714:-	tt9837970:-	tt9837984:-	tt9837996:-	tt9838012:-	tt9838036:-	
