11	tt10035098:-	tt11023660:-	tt9784902:-	
\N	tt11023654:-	tt11256830:-	tt11327378:-	tt11342700:-	
1	tt1394089:6.3	tt1394090:7.2	tt1394091:7.0	tt1394092:6.8	
2	tt1995926:7.7	tt1995927:7.0	tt1995928:6.8	tt1995929:6.6	
3	tt1995930:6.8	tt2048574:7.7	tt2053108:7.4	tt2060144:8.0	
4	tt2269540:7.0	tt2269582:7.0	tt2320210:6.8	tt2347082:6.6	
5	tt3003222:7.4	tt3107728:7.2	tt3107730:7.2	tt3107738:8.2	
6	tt3950094:7.7	tt3950104:6.6	tt3962024:7.3	tt4005962:6.8	
7	tt4951878:-	tt4951882:-	tt4951884:8.6	tt4951886:-	
8	tt5688788:-	tt5688794:-	tt5770216:-	tt6036962:-	tt6647744:-	tt6647778:-	
9	tt6647790:-	tt6647804:-	tt6647810:-	tt6647814:7.7	tt6667514:-	tt6671218:-	
10	tt9778068:-	tt9839522:-	
