1	tt12349854:-	tt12349856:-	tt12349858:-	tt12349860:-	tt12349862:-	tt12349864:-	
2	tt14208294:-	tt14208296:-	tt14208298:-	tt14208310:-	tt14208312:-	tt14208314:-	tt14208316:-	tt14208320:-	tt14208322:-	
3	tt14208434:-	tt14208442:-	tt14208446:-	tt14208478:-	tt14208490:-	tt14208496:-	tt14208504:-	tt14208506:-	
4	tt14208814:-	tt14208816:-	tt14208818:-	tt14208830:-	tt14208832:-	tt14208834:-	tt14208838:-	tt14208840:-	tt14208842:-	tt14208844:-	
5	tt14208874:-	tt14208878:-	tt14208880:-	tt14208882:-	tt14208884:-	tt14208886:-	tt14208888:-	tt14208892:-	
