1	tt0647145:9.2	tt0647146:9.3	tt0647147:9.2	tt0647148:9.0	tt0647149:8.8	tt0647150:9.0	tt0647151:9.0	
2	tt0647152:-	tt0647153:-	tt0647154:-	tt0647155:-	tt0647156:-	tt0647157:-	tt0647158:-	tt0762718:-	
3	tt0647159:-	tt0647160:-	tt0647161:-	tt0647162:-	tt0647163:-	tt0647164:-	tt0647165:-	tt0647166:-	
