1	tt3890142:7.2	tt3955832:7.2	tt4128150:7.6	tt4343860:7.0	tt4396964:7.1	tt4436006:6.9	tt4451510:7.4	tt4451676:7.2	tt4451678:7.2	tt4451682:7.1	tt4451688:7.2	tt4451692:7.8	
2	tt4286860:7.2	tt5040680:6.8	tt5093358:7.3	tt5213050:7.5	tt5269992:7.3	tt5352362:7.2	tt5522618:7.1	tt5522628:7.1	tt5522636:6.9	tt5522662:7.1	tt5522670:7.3	tt5522682:7.4	tt5522684:7.3	
3	tt5726166:7.4	tt5963008:6.7	tt6006900:7.0	tt6167716:6.8	tt6174234:7.2	tt6221632:7.6	tt6231686:7.0	tt6244206:7.0	tt6244210:6.9	tt6244216:6.8	tt6249860:7.3	tt6249862:7.1	tt6249866:7.0	
