1	tt0608704:-	tt0790128:-	tt0790129:-	tt0790130:-	tt0790131:-	tt0790132:-	tt0790133:-	tt0790134:-	tt0790135:-	tt0790136:-	tt0790148:-	
3	tt0790105:-	tt0790106:-	tt0790107:-	tt0790108:-	tt0790109:-	tt0790110:-	tt0790111:-	tt0790112:-	tt0790113:-	tt0790114:-	tt0790115:-	tt0790116:-	tt0790117:-	tt0790149:-	
2	tt0790118:-	tt0790119:-	tt0790120:-	tt0790121:-	tt0790122:-	tt0790123:-	tt0790124:-	tt0790125:-	tt0790126:-	tt0790127:-	tt0790146:-	tt0790147:-	tt0817266:-	
4	tt0790137:-	tt0790138:-	tt0790139:-	tt0790140:-	tt0790141:-	tt0790142:-	tt0790143:-	tt0790144:-	tt0790145:-	tt0813506:-	tt0813507:-	tt0813508:-	tt0813509:-	
5	tt1223614:-	tt1229294:-	tt1234982:-	tt1237642:-	tt2613812:-	tt2613814:-	tt2613816:-	tt2613820:-	tt2613822:-	tt2613826:-	tt2613828:-	tt2613830:-	tt2613832:-	
6	tt5261342:-	tt5261348:-	tt5285478:-	tt5285496:-	
