1	tt3522102:6.9	tt3522104:7.2	tt3522108:7.2	tt3522110:7.3	tt3522112:7.0	tt3522120:6.8	tt3522122:7.0	tt3522124:7.0	tt9684520:5.7	
2	tt4322192:6.8	tt4322194:6.9	tt4322196:7.1	tt4322198:7.9	tt4322200:8.2	tt4322202:6.2	tt4322204:7.4	tt4322206:7.5	tt4322208:8.1	tt4322210:7.2	
3	tt5670884:7.0	tt5670886:7.5	tt5670888:7.3	tt5670890:7.7	tt5670892:6.2	tt5670894:7.6	tt5794096:7.9	tt5819654:7.7	tt5833258:7.9	tt5856244:7.8	
