3	tt10878254:-	tt10883494:-	tt10889020:-	tt10889116:-	tt10889172:-	tt10913620:-	
\N	tt10902066:-	tt7685550:8.9	tt7685552:8.8	
1	tt7107070:8.8	tt7107074:8.7	tt7126680:8.2	tt7891648:8.4	tt9760900:6.9	
2	tt9269972:8.0	tt9874872:7.3	tt9875264:7.5	tt9875354:7.4	tt9875392:7.0	
