1	tt0818032:6.2	tt0866920:5.2	tt0866921:5.2	tt0866924:4.5	tt0866929:5.2	tt0866930:4.4	tt0866931:6.3	tt0866934:5.8	tt0866937:5.0	tt0866939:6.7	tt0866940:5.0	tt0866943:7.5	tt0866945:5.6	tt2467446:-	
2	tt0866919:6.0	tt0866922:5.4	tt0866923:6.6	tt0866925:6.2	tt0866927:6.4	tt0866928:4.5	tt0866932:5.8	tt0866933:6.2	tt0866935:5.3	tt0866938:6.5	tt0866942:5.8	tt0866944:6.6	tt0866946:5.6	
3	tt0866926:5.8	tt0866936:6.2	tt0866941:-	tt0956068:6.8	tt0956069:-	tt0956071:7.0	tt0978105:6.1	tt1035013:6.3	tt1106671:6.6	tt1107642:-	tt1107643:-	tt1117446:-	tt1132337:-	
4	tt1106218:7.0	tt1106219:-	tt1106670:-	tt1106672:4.8	tt1106673:-	tt1211637:5.2	tt1222162:6.8	tt1256996:-	tt1256997:-	tt1257440:8.2	tt1257441:-	tt1257442:-	tt1257823:-	tt1331802:6.8	tt1368313:7.0	
