1	tt1835360:-	tt1835361:-	tt1835362:-	tt1835363:-	tt1835364:-	tt1835365:-	tt1835366:-	tt7804236:-	
2	tt1835367:-	tt1835368:-	tt1835369:-	tt1835370:-	tt1835371:-	tt1835372:-	tt1835373:-	
3	tt1835374:-	tt1835375:-	tt1835376:-	tt1835377:-	tt1835378:-	tt1835379:-	tt1835380:-	
4	tt1835381:-	tt1835382:-	tt1835383:-	tt1835384:-	tt1835385:-	tt1835386:-	
