\N	tt0555907:-	tt0555913:-	tt0555914:-	tt0555915:-	tt0555916:-	tt0555917:-	tt0555918:-	tt0555919:-	tt0555920:-	tt0555921:-	tt0555922:-	tt0555923:-	tt0555924:-	tt0555925:-	tt0555926:-	tt0555927:-	tt0555928:-	tt0555930:-	tt0555931:-	tt0555932:-	tt0555933:-	tt0555936:-	tt0555940:-	tt0555942:-	tt0555946:-	tt1497177:-	tt1946747:-	tt2295325:-	tt2295327:-	tt2340469:-	tt2716838:-	tt2716840:-	tt2716848:-	tt2716850:-	tt2716854:-	tt2716856:-	tt2716858:-	tt2820028:-	tt2820052:-	tt3024796:-	tt3024808:-	tt3459078:-	
7	tt0555908:-	tt0555929:-	tt0555945:-	tt0555947:-	
8	tt0555909:-	tt0555948:-	tt0555949:-	
9	tt0555910:-	tt0555950:-	tt0555951:-	
10	tt0555911:-	tt0555912:-	
4	tt0555934:-	tt0555935:-	tt0555937:-	
5	tt0555938:-	tt0555939:-	tt0555941:-	
6	tt0555943:-	tt0555944:-	
