2	tt0516340:-	tt1259242:-	tt1259246:-	tt1259248:-	tt1269743:-	tt1269750:-	tt1269751:-	tt1269753:-	tt1269754:-	tt1546136:-	tt1755038:-	tt1901372:-	tt1901373:-	tt1901375:-	tt1901376:-	tt1901377:-	tt1901378:-	tt1906633:-	tt1910705:-	tt1916845:-	tt1919413:-	tt6170310:-	tt6170312:-	tt7489320:-	tt7489322:-	tt7489324:-	tt7489326:-	
1	tt0823852:-	tt0927182:-	tt0927183:-	tt0927184:-	tt0927185:-	tt0927186:-	tt1259243:-	tt1259245:-	tt1259249:-	tt1269745:-	tt1269752:-	tt1546135:-	tt1546137:-	tt1584171:-	tt1585580:-	tt1585581:-	tt1907867:-	tt1910704:-	tt1925613:-	tt1929512:-	tt1931672:-	tt1935377:-	tt6166780:-	tt7489328:-	tt7489332:-	tt7489334:-	
3	tt0996564:-	tt1259244:-	tt1269748:-	tt1297323:-	tt1297324:-	tt1307482:-	tt1307483:-	tt1307484:-	tt1748643:-	tt1748644:-	tt1748645:-	tt1748646:-	tt1761086:-	tt1769451:-	tt1779940:-	tt1787146:-	tt1790016:-	tt1790916:-	tt1792175:-	tt1792868:-	tt1901374:-	tt1901380:-	tt1905212:-	tt1906634:-	tt6170296:-	tt6170306:-	
