1	tt1323496:-	tt1323497:-	tt1323498:-	tt1323499:-	
2	tt1323793:-	tt1323794:-	tt1323795:-	
3	tt1323796:-	tt1323797:-	tt1323798:-	
4	tt1323799:-	tt1323800:-	tt1323801:-	
5	tt1323802:-	
