1	tt2078979:5.6	tt2080689:8.4	tt2080690:-	tt2083524:-	tt2113302:-	tt2118182:-	tt2119032:-	
2	tt2448624:-	tt2591624:-	tt2591626:-	tt2591628:-	tt2591630:-	tt2591632:-	
3	tt3673084:-	tt4077250:-	tt4129724:7.2	tt4129726:-	tt4181370:-	tt4181372:-	
