3	tt11708396:-	tt11708406:-	tt12203328:-	tt12203354:-	tt12203398:-	tt12203414:-	tt13503760:-	tt13503762:-	
4	tt13398118:-	tt13478002:-	tt13503776:-	tt13571608:-	tt13571634:-	tt13577956:-	
1	tt7674696:-	tt7674700:8.0	tt7674706:7.2	tt7678244:6.7	tt7732924:-	tt7744236:-	tt7744240:8.2	
2	tt9310040:-	tt9310046:-	tt9310050:-	tt9454364:-	tt9454392:-	tt9454408:-	tt9454424:-	
