1	tt3045368:7.5	tt3059294:7.7	tt3072320:8.2	tt3084210:8.0	tt3092116:8.5	tt3106064:8.6	
2	tt4316198:8.7	tt4330898:8.8	tt4353956:8.5	tt4373710:9.4	tt4395720:8.0	tt4420872:8.7	tt4440224:8.9	
3	tt6380652:8.1	tt6862972:8.6	tt6862974:8.6	tt6862984:8.0	tt6862992:8.2	tt6863000:9.4	tt6863004:8.3	
