1	tt11717650:-	tt11717730:-	tt11722670:-	tt11722672:-	tt11722674:-	tt5771498:-	
12	tt11722684:-	tt11775908:-	tt11775912:-	tt11775914:-	tt11775916:-	tt11775918:-	tt11775920:-	tt11775922:-	tt11775926:-	tt11775928:-	tt11775930:-	tt11775932:-	tt11775934:-	tt11775936:-	tt11775938:-	tt11775942:-	tt11775944:-	tt11775948:-	tt11775952:-	tt11775954:-	tt11782214:-	tt11782218:-	tt11782226:-	tt11782228:-	tt11782232:-	tt11782236:-	tt11782240:-	tt11782242:-	tt11782244:-	tt11782248:-	tt11782250:-	tt11782252:-	tt11782256:-	tt11782258:-	tt11782260:-	tt11782262:-	tt11782264:-	tt11782266:-	tt11782270:-	tt11782272:-	tt11782274:-	tt11782278:-	
2	tt11722692:-	tt11722694:-	tt11722696:-	tt11722698:-	tt11722700:-	tt11722704:-	tt11722706:-	tt11722708:-	tt11722710:-	tt11722712:-	tt11722714:-	tt11722716:-	
7	tt11722720:-	tt11722748:-	tt11722750:-	tt11722752:-	tt11722754:-	tt11722756:-	tt11722758:-	tt11722760:-	tt11722762:-	tt11722764:-	tt11722766:-	tt11722768:-	tt11722770:-	tt11722772:-	tt11722774:-	tt11722776:-	tt11722778:-	tt11722780:-	tt11722784:-	tt11722786:-	tt11726204:-	tt11726206:-	tt11726208:-	tt11726214:-	tt11726216:-	tt11726218:-	tt11726220:-	tt11726222:-	tt11726224:-	tt11726228:-	tt11726230:-	tt11726232:-	tt11726234:-	tt11726236:-	tt11726238:-	tt11726242:-	tt11726246:-	tt11726248:-	tt11726250:-	tt11726252:-	tt11726254:-	
8	tt11726260:-	tt11735280:-	tt11735282:-	tt11735284:-	tt11735288:-	tt11735290:-	tt11735294:-	tt11735296:-	tt11735298:-	tt11735300:-	tt11735302:-	tt11735304:-	tt11735306:-	tt11735308:-	tt11735310:-	tt11735312:-	tt11735314:-	tt11735316:-	tt11735318:-	tt11735320:-	tt11735322:-	tt11739326:-	tt11739340:-	tt11739344:-	tt11739346:-	tt11739348:-	tt11739350:-	tt11739354:-	tt11739358:-	tt11739360:-	tt11739362:-	tt11739364:-	tt11739372:-	tt11739374:-	tt11739376:-	tt11739378:-	tt11739380:-	tt11739382:-	tt11739384:-	tt11739386:-	tt11739390:-	tt11739394:-	
3	tt11726264:-	tt11726268:-	tt11726270:-	tt11726272:-	tt11726278:-	tt11726282:-	tt11726284:-	tt11726288:-	tt11726290:-	tt11726292:-	tt11726298:-	tt11726300:-	tt11726302:-	tt11726306:-	tt11726308:-	tt11726312:-	tt11726314:-	tt11726316:-	tt11726318:-	tt11735216:-	tt11735228:-	tt11735230:-	tt11735234:-	tt11735236:-	tt11735238:-	tt11735240:-	tt11735242:-	tt11735248:-	tt11735250:-	tt11735252:-	tt11735256:-	tt11735258:-	tt11735260:-	tt11735262:-	tt11735264:-	tt11735268:-	tt11735270:-	tt11735272:-	tt11735276:-	tt11735278:-	
4	tt11739398:-	tt11739400:-	tt11739402:-	tt11739404:-	tt11739406:-	tt11739408:-	tt11739416:-	tt11739418:-	tt11739420:-	tt11739422:-	tt11739428:-	tt11739430:-	tt11739432:-	tt11739436:-	tt11739438:-	tt11739440:-	tt11739442:-	tt11739444:-	tt11739446:-	tt11739450:-	tt11746424:-	tt11746428:-	tt11746430:-	tt11746432:-	tt11746434:-	tt11746436:-	tt11746440:-	tt11746442:-	tt11746444:-	tt11746446:-	tt11746448:-	tt11746450:-	tt11746452:-	tt11746454:-	tt11746458:-	tt11746460:-	tt11746462:-	tt11746482:-	tt11746486:-	tt11746488:-	tt11746490:-	tt11746496:-	
9	tt11746500:-	tt11746504:-	tt11746506:-	tt11746508:-	tt11746510:-	tt11746512:-	tt11746518:-	tt11746522:-	tt11746524:-	tt11746526:-	tt11746528:-	tt11746532:-	tt11746534:-	tt11746538:-	tt11746542:-	tt11746546:-	tt11746548:-	tt11746552:-	tt11746554:-	tt11746558:-	tt11751022:-	tt11751030:-	tt11751032:-	tt11751034:-	tt11751036:-	tt11751038:-	tt11751040:-	tt11751042:-	tt11751044:-	tt11751046:-	tt11751048:-	tt11751050:-	tt11751052:-	tt11751056:-	tt11751058:-	tt11751060:-	tt11751062:-	tt11751064:-	tt11751066:-	tt11751068:-	tt11751070:-	tt11751072:-	
5	tt11751074:-	tt11751076:-	tt11751078:-	tt11751080:-	tt11751082:-	tt11751086:-	tt11751088:-	tt11751090:-	tt11751096:-	tt11751100:-	tt11751102:-	tt11751104:-	tt11751106:-	tt11751110:-	tt11751112:-	tt11751114:-	tt11751116:-	tt11751118:-	tt11751120:-	tt11751122:-	tt11757172:-	tt11757180:-	tt11757182:-	tt11757184:-	tt11757186:-	tt11757188:-	tt11757190:-	tt11757192:-	tt11757196:-	tt11757198:-	tt11757200:-	tt11757202:-	tt11757206:-	tt11757208:-	tt11757210:-	tt11757212:-	tt11757214:-	tt11757216:-	tt11757220:-	tt11757222:-	tt11757224:-	tt11757226:-	
10	tt11757228:-	tt11757230:-	tt11757236:-	tt11757238:-	tt11757240:-	tt11757242:-	tt11757246:-	tt11757248:-	tt11757250:-	tt11757252:-	tt11757254:-	tt11757258:-	tt11757260:-	tt11757262:-	tt11757264:-	tt11757266:-	tt11757268:-	tt11757270:-	tt11757274:-	tt11757278:-	tt11762124:-	tt11762164:-	tt11762168:-	tt11762170:-	tt11762172:-	tt11762174:-	tt11762176:-	tt11762178:-	tt11762184:-	tt11762186:-	tt11762188:-	tt11762190:-	tt11762192:-	tt11762196:-	tt11762198:-	tt11762200:-	tt11762202:-	tt11762204:-	tt11762206:-	tt11762208:-	tt11762210:-	tt11762212:-	
6	tt11762220:-	tt11762222:-	tt11762224:-	tt11762228:-	tt11762230:-	tt11762232:-	tt11762234:-	tt11762236:-	tt11762238:-	tt11762240:-	tt11762246:-	tt11762248:-	tt11762252:-	tt11762254:-	tt11762256:-	tt11762258:-	tt11762262:-	tt11762264:-	tt11762266:-	tt11762268:-	tt11769416:-	tt11769420:-	tt11769424:-	tt11769426:-	tt11769428:-	tt11769430:-	tt11769436:-	tt11769438:-	tt11769440:-	tt11769442:-	tt11769444:-	tt11769446:-	tt11769448:-	tt11769452:-	tt11769454:-	tt11769456:-	tt11769458:-	tt11769460:-	tt11769462:-	tt11769464:-	tt11769466:-	tt11769468:-	
11	tt11769482:-	tt11769484:-	tt11769488:-	tt11769490:-	tt11769494:-	tt11769496:-	tt11769500:-	tt11769502:-	tt11769504:-	tt11769506:-	tt11769508:-	tt11769510:-	tt11769514:-	tt11769516:-	tt11769518:-	tt11769520:-	tt11769522:-	tt11769524:-	tt11769526:-	tt11769530:-	tt11775846:-	tt11775854:-	tt11775858:-	tt11775860:-	tt11775862:-	tt11775864:-	tt11775866:-	tt11775868:-	tt11775870:-	tt11775872:-	tt11775874:-	tt11775878:-	tt11775880:-	tt11775882:-	tt11775884:-	tt11775886:-	tt11775888:-	tt11775890:-	tt11775892:-	tt11775894:-	tt11775896:-	tt11775898:-	
