3	tt10047988:-	tt12193646:-	tt12193650:-	tt12193660:-	tt12193666:-	tt12193672:-	tt12193676:-	
1	tt10493148:-	tt12193906:-	tt12193910:-	tt12193914:-	tt12193918:-	tt7520726:-	tt7520740:-	tt8714968:-	
4	tt12193700:-	tt12193710:-	tt12193718:-	tt12193722:-	tt9253236:-	tt9253238:-	tt9356022:-	tt9357164:-	
5	tt12193846:-	tt12193854:-	tt12193856:-	tt12193862:-	tt12193864:-	tt12193866:-	tt12193878:-	tt12193880:-	
6	tt13904086:-	tt13904106:-	tt13904204:-	tt13904278:-	
2	tt6255858:-	tt6255862:-	tt6255876:-	tt6255880:-	tt6255886:-	tt6255892:-	tt6609334:-	tt6757704:-	
