1	tt0768227:4.8	tt0768231:3.9	tt0768232:4.2	tt0768249:3.9	tt1094513:3.0	
2	tt0844450:5.3	tt0844451:4.3	tt0844454:4.5	tt0844461:4.5	
3	tt0984967:3.1	tt0984984:3.8	tt1000145:4.0	tt1000741:4.2	
4	tt1083961:3.4	tt1089066:4.8	tt1091653:4.2	tt1094226:3.8	
5	tt1355664:2.9	tt1377618:2.7	tt1377619:2.6	tt1377620:2.9	tt1628234:2.4	tt2525008:-	
