5	tt13585802:-	tt13585852:-	tt13585918:-	tt13585964:-	tt13586012:-	tt13586186:-	tt13985446:-	tt13985450:-	tt13985452:-	tt13985454:-	tt13985474:-	tt13985478:-	
6	tt14726992:-	tt15029222:-	tt15029228:-	tt15029230:-	tt15029232:-	tt15029236:-	tt15029238:-	tt15029242:-	tt15029244:-	tt15029246:-	tt15029256:-	tt15029260:-	
1	tt5745340:-	tt5745346:-	tt5745348:-	tt5745350:-	tt6701516:-	tt6701540:-	tt6701546:-	tt6701548:-	tt9419940:-	tt9420034:-	tt9420046:-	tt9420052:-	tt9436578:-	
2	tt7885608:-	tt8746860:-	tt9420100:-	tt9420304:-	tt9423024:-	tt9425012:-	tt9426196:-	tt9429714:-	tt9429726:-	tt9429800:-	tt9429902:-	tt9429928:-	tt9430272:-	
3	tt9420144:-	tt9420262:-	tt9430514:-	tt9430582:-	tt9430676:-	tt9430688:-	tt9434400:-	tt9434722:-	tt9436258:-	tt9436396:-	tt9436508:-	tt9436534:-	tt9436598:-	
4	tt9420348:-	tt9430350:-	tt9430364:-	tt9436838:-	tt9436894:-	tt9436908:-	tt9436918:-	tt9436960:-	tt9436984:-	tt9437022:-	tt9437066:-	tt9437132:-	tt9437176:-	
