4	tt0647816:8.9	tt2927690:-	tt2927698:-	tt2927704:-	tt2927708:-	tt2927714:-	tt2927716:-	tt2927722:-	tt2928190:-	tt2928192:-	
3	tt0862602:-	tt0862603:-	tt0862604:-	tt2824840:-	tt2937296:-	tt2937302:-	tt2937308:-	tt2937312:-	tt2937320:-	tt2937328:-	tt2937332:-	tt2937338:-	tt2937342:-	
7	tt1631114:-	tt1631115:-	tt2825936:-	tt2896154:-	tt2896166:-	tt2896172:-	tt2896188:-	tt2896268:-	tt2896276:-	tt2896282:-	
2	tt2613002:-	tt2824824:-	tt2856298:-	tt2856304:-	tt2856308:-	tt2856316:-	tt2856324:-	tt2856328:-	tt2856348:-	tt2856352:-	
8	tt2614912:-	tt2876530:-	tt2887146:-	tt2887154:-	tt2887166:-	tt2887170:-	tt2887176:-	tt2887198:-	tt2887206:-	tt2887220:-	
1	tt2622076:-	tt2824218:-	tt2824224:-	tt2824232:-	tt2824236:-	tt2824772:-	tt2824784:-	tt2824790:-	tt2824794:-	tt2824834:-	
11	tt2856616:-	tt2856618:-	tt2856620:-	tt2856624:-	tt2856630:-	tt2856636:-	tt2856642:-	tt2856652:-	tt2856660:-	tt2856672:-	
12	tt2856682:-	tt2857360:-	tt2857362:-	tt2857366:-	tt2857370:-	tt2857372:-	tt2857374:-	tt2857376:-	tt2857378:-	tt2857382:-	
10	tt2857392:-	tt2860502:-	tt2860506:-	tt2860544:-	tt2860588:-	tt2860598:-	tt2860616:-	tt2860630:-	tt2860642:-	tt2860654:-	
9	tt2860670:-	tt2876488:-	tt2876496:-	tt2876500:-	tt2876504:-	tt2876512:-	tt2876516:-	tt2876522:-	tt2876524:-	tt2876526:-	
6	tt2896304:-	tt2912736:-	tt2912738:-	tt2912740:-	tt2912742:-	tt2912744:-	tt2912746:-	tt2912750:-	tt2912752:-	tt2912758:-	
5	tt2912896:-	tt2912900:-	tt2926230:-	tt2926240:-	tt2926242:-	tt2926244:-	tt2926252:-	tt2926256:-	tt2926260:-	tt2926264:-	
