1	tt14210632:-	tt14210662:-	tt14210666:-	tt14210670:-	tt14210694:-	tt14210738:-	tt14210746:-	tt14210754:-	tt14210772:-	tt14210776:-	tt14210780:-	tt14210792:-	
2	tt14210818:-	tt14210826:-	tt14210834:-	tt14210838:-	tt14210842:-	tt14210852:-	tt14210860:-	tt14210866:-	tt14210874:-	tt14210882:-	tt14210888:-	tt14210892:-	tt14210896:-	
3	tt14296602:-	tt14296612:-	tt14296622:-	tt14296632:-	tt14296640:-	tt14296650:-	tt14296658:-	tt14296666:-	tt14296670:-	tt14296674:-	tt14296680:-	tt14296684:-	tt14296688:-	
4	tt14296704:-	tt14296710:-	tt14296712:-	tt14296726:-	tt14296734:-	tt14296736:-	tt14296742:-	tt14296744:-	tt14296748:-	tt14296756:-	tt14296760:-	tt14296766:-	tt14296774:-	
5	tt14296778:-	tt14296782:-	tt14296786:-	tt14296788:-	tt14296794:-	tt14296798:-	tt14296800:-	tt14296806:-	tt14398520:-	
