1	tt1453794:6.8	tt1453795:6.7	tt1453796:6.7	tt1453797:6.7	tt1453798:6.7	
2	tt1453799:6.6	tt1453800:6.4	tt1453801:-	tt1453802:6.3	
3	tt1487005:5.8	tt1590606:5.6	tt1593131:5.9	tt1594811:5.7	
4	tt4935808:5.8	tt4935816:5.8	tt4937098:6.1	tt4937130:6.7	
