1	tt14235474:-	tt14235596:-	tt14235630:-	tt14235656:-	tt14235686:-	tt14235700:-	tt14235722:-	tt14235750:-	
13	tt14235488:-	tt14267894:-	tt14267966:-	tt14267990:-	tt14268024:-	tt14268038:-	tt14268066:-	tt14268092:-	
11	tt14235498:-	tt14241500:-	tt14242554:-	tt14242600:-	tt14242632:-	tt14242874:-	tt14242888:-	tt14242898:-	
10	tt14235552:-	tt14235572:-	tt14242928:-	tt14246324:-	tt14246334:-	tt14246364:-	tt14246386:-	tt14246410:-	
2	tt14235814:-	tt14237390:-	tt14237408:-	tt14237428:-	tt14237448:-	tt14237452:-	
3	tt14235844:-	tt14237458:-	tt14237466:-	tt14237486:-	tt14242948:-	tt14242970:-	tt14250422:-	
4	tt14235858:-	tt14237498:-	tt14237554:-	tt14237572:-	tt14243002:-	tt14243012:-	
5	tt14235872:-	tt14246950:-	tt14246956:-	tt14246992:-	tt14247014:-	tt14247026:-	
12	tt14235902:-	tt14239488:-	tt14241326:-	tt14241370:-	tt14241394:-	tt14241448:-	tt14241468:-	tt14241488:-	
6	tt14237606:-	tt14237690:-	tt14237706:-	tt14246806:-	tt14246830:-	tt14246856:-	tt14246878:-	tt14246914:-	
7	tt14237612:-	tt14237620:-	tt14237632:-	tt14237638:-	tt14246710:-	tt14246748:-	tt14246766:-	
8	tt14237644:-	tt14237668:-	tt14237682:-	tt14246542:-	tt14246566:-	tt14246602:-	tt14246634:-	tt14246674:-	
9	tt14237730:-	tt14237754:-	tt14246468:-	tt14246480:-	tt14246494:-	tt14246496:-	tt14246512:-	tt14246518:-	
