1	tt3382774:5.4	tt3382784:-	tt3382804:5.6	tt3382824:-	tt3382840:-	tt3382860:-	tt3403724:-	tt3411282:-	tt3440338:-	
2	tt3604084:-	tt3604104:-	tt3604106:-	tt3604114:-	tt3631490:-	tt3631508:-	tt3654316:-	tt3693506:-	
3	tt3661348:-	tt3674054:-	tt3756394:-	tt4411484:-	tt4431292:-	tt4470182:-	tt4493208:-	
4	tt7141760:-	tt7156416:-	tt7175858:-	tt7218772:-	tt7256776:-	tt7282928:-	tt7308254:-	
