7	tt13327160:-	tt13327162:-	
1	tt2513694:8.2	tt2517528:7.9	tt2517546:8.5	tt2524292:8.3	tt2532536:8.9	
2	tt3293342:7.8	tt3293346:8.1	tt3309148:7.6	tt3324858:8.2	tt3343128:7.7	tt3343130:7.4	
3	tt4190690:8.3	tt4190698:7.5	tt4194190:7.1	tt4208818:7.9	tt4209470:7.7	tt4237540:7.4	
4	tt5091758:7.5	tt5112540:8.2	tt5129574:8.4	tt5164176:7.1	tt5186268:8.3	tt5199638:7.8	
5	tt6048424:7.5	tt6073496:7.8	tt6099866:7.7	tt6120814:7.1	tt6141670:7.5	tt6166134:7.2	
6	tt8116336:7.3	tt8145446:7.7	
